"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in classic"	"classic"	"elim"	"weight"	"weight01"	"lea"	"parentchild"
"1"	"GO:0009812"	"flavonoid metabolic process"	268	11	2.65	1	"8.2e-05"	"0.00400"	"8.2e-05"	"1.00000"	"8.2e-05"	"8.6e-05"
"2"	"GO:0019307"	"mannose biosynthetic process"	11	3	0.11	2	"0.00015"	"0.00015"	"0.00015"	"0.00015"	"0.00015"	"0.01548"
"3"	"GO:0043086"	"negative regulation of catalytic activit..."	30	4	0.3	3	"0.00021"	"0.00021"	"0.00021"	"0.00021"	"0.00021"	"0.00098"
"4"	"GO:0007169"	"transmembrane receptor protein tyrosine ..."	159	7	1.57	5	"0.00107"	"0.00107"	"0.00107"	"0.00107"	"0.00107"	"1.00000"
"5"	"GO:0019853"	"L-ascorbic acid biosynthetic process"	31	3	0.31	11	"0.00350"	"0.00350"	"0.00350"	"0.00350"	"0.00350"	"0.00160"
"6"	"GO:0009809"	"lignin biosynthetic process"	147	6	1.45	13	"0.00351"	"0.00351"	"0.00351"	"0.00351"	"0.00351"	"0.03349"
"7"	"GO:0006040"	"amino sugar metabolic process"	26	3	0.26	7	"0.00210"	"0.00210"	"0.00502"	"0.00095"	"0.00210"	"0.00743"
"8"	"GO:0000266"	"mitochondrial fission"	12	2	0.12	18	"0.00601"	"0.00601"	"0.00601"	"0.00601"	"0.00601"	"0.02228"
"9"	"GO:0009690"	"cytokinin metabolic process"	38	3	0.38	19	"0.00624"	"0.00624"	"0.00624"	"0.00624"	"0.00624"	"0.00366"
"10"	"GO:0006863"	"purine nucleobase transport"	14	2	0.14	20	"0.00818"	"0.00818"	"0.00818"	"0.00818"	"0.00818"	"1.00000"
"11"	"GO:0010204"	"defense response signaling pathway, resi..."	47	3	0.46	23	"0.01123"	"0.01123"	"0.01123"	"0.01123"	"0.01123"	"0.02652"
"12"	"GO:0006014"	"D-ribose metabolic process"	48	3	0.47	24	"0.01189"	"0.01189"	"0.01189"	"0.16290"	"0.01189"	"0.11731"
"13"	"GO:0010090"	"trichome morphogenesis"	140	5	1.38	25	"0.01289"	"0.01289"	"0.01289"	"0.01317"	"0.01289"	"0.10955"
"14"	"GO:0043069"	"negative regulation of programmed cell d..."	51	3	0.5	26	"0.01401"	"0.01401"	"0.01401"	"0.05646"	"0.01401"	"0.04039"
"15"	"GO:0008033"	"tRNA processing"	106	4	1.05	34	"0.02115"	"0.02115"	"0.02115"	"0.06941"	"0.02115"	"0.04712"
