"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in classic"	"classic"	"elim"	"weight"	"weight01"	"lea"	"parentchild"
"1"	"GO:0006506"	"GPI anchor biosynthetic process"	18	5	0.35	1635	"0.84502"	"2e-05"	"2e-05"	"2.0e-05"	"2e-05"	"1.7e-05"
"2"	"GO:0010260"	"organ senescence"	160	11	3.14	860	"0.27689"	"0.00034"	"0.00075"	"0.00080"	"0.00034"	"0.0001"
"3"	"GO:0042780"	"tRNA 3'-end processing"	10	3	0.2	1663	"0.85109"	"0.00082"	"0.00082"	"0.00082"	"0.00082"	"0.0019"
"4"	"GO:0010206"	"photosystem II repair"	38	5	0.75	1595	"0.81241"	"0.00085"	"0.00085"	"0.00085"	"0.00085"	"0.0137"
"5"	"GO:1903409"	"reactive oxygen species biosynthetic pro..."	20	3	0.39	1747	"0.88482"	"1.00000"	"0.00225"	"1.00000"	"1.00000"	"0.0077"
"6"	"GO:0000255"	"allantoin metabolic process"	14	3	0.27	1858	"0.93050"	"0.00234"	"0.00234"	"0.00234"	"0.00234"	"0.0024"
"7"	"GO:0006354"	"DNA-templated transcription, elongation"	72	6	1.41	984	"0.36438"	"0.00293"	"0.00293"	"0.00293"	"0.00293"	"0.0073"
"8"	"GO:0043255"	"regulation of carbohydrate biosynthetic ..."	44	4	0.86	2111	"0.98812"	"0.01076"	"0.01076"	"0.01076"	"0.01076"	"0.0161"
"9"	"GO:0010275"	"NAD(P)H dehydrogenase complex assembly"	24	3	0.47	1592	"0.81182"	"0.01123"	"0.01123"	"0.01123"	"0.01123"	"0.0054"
"10"	"GO:1901419"	"regulation of response to alcohol"	108	6	2.12	580	"0.11415"	"0.01996"	"0.01159"	"1.00000"	"1.00000"	"0.0399"
"11"	"GO:0010345"	"suberin biosynthetic process"	10	2	0.2	783	"0.24373"	"0.01561"	"0.01561"	"0.01561"	"0.01561"	"0.0559"
"12"	"GO:0045730"	"respiratory burst"	10	2	0.2	159	"0.00034"	"0.01561"	"0.01561"	"0.01561"	"0.01561"	"0.0156"
"13"	"GO:0001560"	"regulation of cell growth by extracellul..."	10	2	0.2	2359	"1.00000"	"0.01561"	"0.01561"	"0.01561"	"0.01561"	"0.0172"
"14"	"GO:0055114"	"oxidation-reduction process"	2131	56	41.85	1543	"0.77726"	"0.01705"	"0.01860"	"0.00157"	"0.01705"	"0.0082"
"15"	"GO:0051289"	"protein homotetramerization"	11	2	0.22	2360	"1.00000"	"0.01884"	"0.01884"	"0.01884"	"0.01884"	"0.0705"
"16"	"GO:0048455"	"stamen formation"	12	2	0.24	624	"0.13987"	"0.02231"	"0.02231"	"0.02231"	"0.02231"	"0.1048"
"17"	"GO:0000160"	"phosphorelay signal transduction system"	111	6	2.18	1753	"0.88607"	"0.02250"	"0.02250"	"0.15631"	"0.02250"	"0.0463"
"18"	"GO:0009809"	"lignin biosynthetic process"	147	7	2.89	2247	"0.99889"	"0.02649"	"0.02649"	"0.02649"	"0.02649"	"0.3108"
