"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"parentchild"
"1"	"GO:2000112"	"regulation of cellular macromolecule bio..."	2150	494	372.78	"2.1e-23"
"2"	"GO:0010468"	"regulation of gene expression"	2325	532	403.13	"1.4e-20"
"3"	"GO:0031326"	"regulation of cellular biosynthetic proc..."	2261	507	392.03	"6.6e-20"
"4"	"GO:0010556"	"regulation of macromolecule biosynthetic..."	2150	494	372.78	"5.5e-19"
"5"	"GO:0009889"	"regulation of biosynthetic process"	2313	516	401.04	"3.0e-18"
"6"	"GO:0032774"	"RNA biosynthetic process"	2251	482	390.29	"1.3e-15"
"7"	"GO:0006351"	"transcription, DNA-templated"	2242	482	388.73	"1.7e-14"
"8"	"GO:0032502"	"developmental process"	4630	989	802.78	"2.7e-14"
"9"	"GO:0044767"	"single-organism developmental process"	4556	979	789.95	"4.8e-14"
"10"	"GO:0060255"	"regulation of macromolecule metabolic pr..."	2483	570	430.52	"4.9e-14"
"11"	"GO:0051171"	"regulation of nitrogen compound metaboli..."	2191	485	379.89	"3.5e-13"
"12"	"GO:0044707"	"single-multicellular organism process"	4316	926	748.34	"6.7e-13"
"13"	"GO:0031323"	"regulation of cellular metabolic process"	2652	580	459.82	"8.7e-13"
"14"	"GO:0032501"	"multicellular organismal process"	4415	936	765.5	"1.0e-12"
"15"	"GO:0048518"	"positive regulation of biological proces..."	723	201	125.36	"1.2e-12"
"16"	"GO:0044271"	"cellular nitrogen compound biosynthetic ..."	3314	646	574.61	"4.3e-12"
"17"	"GO:0019219"	"regulation of nucleobase-containing comp..."	2156	480	373.82	"7.7e-12"
"18"	"GO:0080090"	"regulation of primary metabolic process"	2526	560	437.98	"1.0e-11"
"19"	"GO:0022414"	"reproductive process"	2517	563	436.42	"1.3e-11"
"20"	"GO:0019222"	"regulation of metabolic process"	3010	651	521.9	"1.5e-11"
"21"	"GO:0065007"	"biological regulation"	6465	1307	1120.95	"2.1e-11"
"22"	"GO:0050789"	"regulation of biological process"	5918	1203	1026.11	"4.2e-11"
