"Pop" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "Latitude" "Longitude" "Origin" "PC1" "PC2" "PC3" "PC4"
"BG001" "BG001" 61 121 211 31 519 60 35 17 160 112 120 135 72 26 7087 260 -11 271 91 62 43.3819444444444 28.4575 "nat" -0.71784676238345 0.177040498419896 -3.48475502810461 0.362189008841445
"CA001" "CA001" 24 100 161 41 1035 153 30 51 449 110 110 406 86 39 4700 224 7 217 48 161 49.0149388888889 -122.882097222222 "inv" -4.12687066129672 -5.95971149091243 1.21481333797062 0.592563728035088
"GR002" "GR002" 492 131 224 39 490 58 24 25 159 81 92 140 100 32 7227 297 -8 305 55 220 40.6213888888889 23.0786111111111 "nat" 1.92252082908119 -0.558044513621231 -2.49902718195585 -0.859123504476596
"RU008" "RU008" 525 88 200 -25 567 88 20 46 238 72 221 73 102 29 8829 269 -75 344 181 -17 44.05 43.06000278 "nat" -0.469780586418445 3.31949691839123 0.98864914506155 2.30637503297176
"SAND" "SAND" 151 98 191 0 651 82 36 29 238 112 238 119 96 31 7404 261 -43 304 191 13 48.2009166666667 16.97415 "sk" -2.05100619747996 1.3409223210014 -0.242716009796549 2.03650696316035
"SERG" "SERG" 997 73 158 -19 664 78 43 21 217 138 189 147 93 32 6907 225 -63 288 140 -6 43.1751666666667 22.6669333333333 "sk" -3.50389090862938 2.43644947799996 0.603805432221479 -1.34333226191396
"TR001" "TR001" 253 130 221 39 612 77 25 30 217 88 100 194 105 34 7167 301 -5 306 56 217 41.7511111111111 27.2477777777778 "nat" 1.37041207262903 -1.53645349867689 -1.90305562924508 -0.20239601650574
"US001" "US001" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193 45.6152333333333 -120.787533333333 "inv" 4.06901129662236 -0.791461205001256 2.15936142059877 0.160257289176871
"US002" "US002" 208 115 215 19 265 37 7 40 105 31 34 93 130 37 7612 316 -30 346 24 209 46.1822666666667 -118.82615 "inv" 4.6071569234302 -0.290236992216614 0.587026120411016 0.242216398069937
"US003" "US003" 682 88 183 -3 620 73 24 30 216 87 100 202 129 37 7241 291 -51 342 3 179 46.60415 -116.64175 "inv" 0.851278319630869 -0.0900535661157952 1.97737141315338 -1.07379083877131
"BG3" "BG3" 1110 77 163 -14 592 68 34 20 184 114 156 141 97 33 6915 232 -59 291 110 132 42.1153 23.3203 "sk" -1.95098432518568 1.95205205073174 0.598526979685275 -2.22146579858784
