"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in classic"	"classic"	"elim"	"weight"	"weight01"	"lea"	"parentchild"
"1"	"GO:0009719"	"response to endogenous stimulus"	2170	506	376.25	9	"1.7e-13"	"0.13616"	"1.7e-12"	"1.00000"	"1.7e-13"	"1.6e-07"
"2"	"GO:2000112"	"regulation of cellular macromolecule bio..."	2150	494	372.78	16	"3.9e-12"	"1.00000"	"2.8e-11"	"1.00000"	"3.9e-12"	"2.1e-23"
"3"	"GO:0009828"	"plant-type cell wall loosening"	37	23	6.42	33	"1.5e-09"	"1.5e-09"	"1.5e-09"	"1.5e-09"	"1.5e-09"	"0.01371"
"4"	"GO:0006869"	"lipid transport"	209	72	36.24	35	"1.8e-09"	"1.7e-06"	"1.8e-09"	"3.9e-06"	"1.8e-09"	"9.5e-09"
"5"	"GO:0009630"	"gravitropism"	119	48	20.63	39	"2.8e-09"	"0.00288"	"2.8e-09"	"0.00324"	"2.8e-09"	"0.00016"
"6"	"GO:0009651"	"response to salt stress"	1330	305	230.6	49	"7.1e-08"	"7.1e-08"	"7.1e-08"	"4.9e-07"	"7.1e-08"	"0.41500"
"7"	"GO:0009790"	"embryo development"	1269	291	220.03	53	"1.4e-07"	"0.12623"	"1.4e-07"	"0.19538"	"1.4e-07"	"0.06330"
"8"	"GO:0009639"	"response to red or far red light"	455	121	78.89	63	"4.6e-07"	"0.58476"	"3.0e-07"	"0.52214"	"4.6e-07"	"0.01278"
"9"	"GO:0006949"	"syncytium formation"	32	18	5.55	68	"7.6e-07"	"7.6e-07"	"7.6e-07"	"7.6e-07"	"7.6e-07"	"9.6e-07"
"10"	"GO:0051094"	"positive regulation of developmental pro..."	178	57	30.86	74	"1.3e-06"	"0.00054"	"1.3e-06"	"0.00160"	"1.3e-06"	"0.00072"
"11"	"GO:0010540"	"basipetal auxin transport"	30	17	5.2	75	"1.4e-06"	"1.4e-06"	"1.4e-06"	"1.4e-06"	"1.4e-06"	"6.0e-05"
"12"	"GO:0010557"	"positive regulation of macromolecule bio..."	205	63	35.54	77	"1.8e-06"	"0.10595"	"1.8e-06"	"0.14038"	"1.8e-06"	"5.3e-07"
"13"	"GO:0008361"	"regulation of cell size"	43	21	7.46	78	"2.1e-06"	"2.1e-06"	"2.1e-06"	"7.6e-07"	"2.1e-06"	"0.00175"
"14"	"GO:0009831"	"plant-type cell wall modification involv..."	28	16	4.85	79	"2.4e-06"	"2.4e-06"	"2.4e-06"	"2.4e-06"	"2.4e-06"	"0.24839"
"15"	"GO:0010623"	"developmental programmed cell death"	19	12	3.29	93	"1.1e-05"	"1.1e-05"	"1.1e-05"	"1.1e-05"	"1.1e-05"	"0.00010"
"16"	"GO:0010541"	"acropetal auxin transport"	22	13	3.81	94	"1.3e-05"	"1.3e-05"	"1.3e-05"	"1.3e-05"	"1.3e-05"	"0.00041"
"17"	"GO:0043481"	"anthocyanin accumulation in tissues in r..."	22	13	3.81	95	"1.3e-05"	"1.3e-05"	"1.3e-05"	"1.3e-05"	"1.3e-05"	"1.00000"
"18"	"GO:0042335"	"cuticle development"	31	16	5.38	101	"1.4e-05"	"1.4e-05"	"1.4e-05"	"1.4e-05"	"1.4e-05"	"0.00019"
"19"	"GO:0048443"	"stamen development"	61	26	10.58	82	"3.4e-06"	"0.00036"	"1.5e-05"	"0.00012"	"3.4e-06"	"0.00016"
"20"	"GO:0010143"	"cutin biosynthetic process"	17	11	2.95	103	"1.9e-05"	"1.9e-05"	"1.9e-05"	"1.9e-05"	"1.9e-05"	"1.3e-05"
"21"	"GO:0080051"	"cutin transport"	20	12	3.47	105	"2.3e-05"	"2.3e-05"	"2.3e-05"	"2.3e-05"	"2.3e-05"	"4.2e-05"
"22"	"GO:0009269"	"response to desiccation"	46	20	7.98	107	"3.2e-05"	"3.2e-05"	"3.2e-05"	"3.2e-05"	"3.2e-05"	"0.00011"
"23"	"GO:0055122"	"response to very low light intensity sti..."	16	10	2.77	112	"7.0e-05"	"7.0e-05"	"7.0e-05"	"7.0e-05"	"7.0e-05"	"0.00021"
"24"	"GO:0010583"	"response to cyclopentenone"	99	33	17.17	121	"8.6e-05"	"8.6e-05"	"8.6e-05"	"8.6e-05"	"8.6e-05"	"0.00153"
"25"	"GO:0019509"	"L-methionine biosynthetic process from m..."	39	17	6.76	128	"0.00012"	"0.00012"	"0.00012"	"0.00012"	"0.00012"	"1.00000"
