GO.ID	Term	Annotated	Significant	Expected	parentchild
GO:2000112	regulation of cellular macromolecule bio...	2150	494	372.78	2.10E-23
GO:0010468	regulation of gene expression	2325	532	403.13	1.40E-20
GO:0031326	regulation of cellular biosynthetic proc...	2261	507	392.03	6.60E-20
GO:0010556	regulation of macromolecule biosynthetic...	2150	494	372.78	5.50E-19
GO:0009889	regulation of biosynthetic process	2313	516	401.04	3.00E-18
GO:0032774	RNA biosynthetic process	2251	482	390.29	1.30E-15
GO:0006351	"transcription, DNA-templated"	2242	482	388.73	1.70E-14
GO:0032502	developmental process	4630	989	802.78	2.70E-14
GO:0044767	single-organism developmental process	4556	979	789.95	4.80E-14
GO:0060255	regulation of macromolecule metabolic pr...	2483	570	430.52	4.90E-14
GO:0051171	regulation of nitrogen compound metaboli...	2191	485	379.89	3.50E-13
GO:0044707	single-multicellular organism process	4316	926	748.34	6.70E-13
GO:0031323	regulation of cellular metabolic process	2652	580	459.82	8.70E-13
GO:0032501	multicellular organismal process	4415	936	765.5	1.00E-12
GO:0048518	positive regulation of biological proces...	723	201	125.36	1.20E-12
GO:0044271	cellular nitrogen compound biosynthetic ...	3314	646	574.61	4.30E-12
GO:0019219	regulation of nucleobase-containing comp...	2156	480	373.82	7.70E-12
GO:0080090	regulation of primary metabolic process	2526	560	437.98	1.00E-11
GO:0022414	reproductive process	2517	563	436.42	1.30E-11
GO:0019222	regulation of metabolic process	3010	651	521.9	1.50E-11
GO:0065007	biological regulation	6465	1307	1120.95	2.10E-11
GO:0050789	regulation of biological process	5918	1203	1026.11	4.20E-11
GO:0018130	heterocycle biosynthetic process	3368	647	583.97	1.70E-10
GO:0050896	response to stimulus	9812	1904	1701.28	2.50E-10
GO:0044702	single organism reproductive process	2158	491	374.17	2.70E-10
GO:0010876	lipid localization	222	74	38.49	8.60E-10
GO:1901362	organic cyclic compound biosynthetic pro...	3762	703	652.28	4.60E-09
GO:0019438	aromatic compound biosynthetic process	3499	661	606.68	4.80E-09
GO:0006869	lipid transport	209	72	36.24	9.50E-09
GO:0009893	positive regulation of metabolic process	296	90	51.32	1.50E-08
GO:0009891	positive regulation of biosynthetic proc...	231	70	40.05	3.70E-08
GO:0050794	regulation of cellular process	5267	1042	913.23	4.20E-08
GO:0031325	positive regulation of cellular metaboli...	285	85	49.42	4.20E-08
GO:0010604	positive regulation of macromolecule met...	257	81	44.56	4.60E-08
GO:0051173	positive regulation of nitrogen compound...	199	63	34.5	1.50E-07
GO:0009719	response to endogenous stimulus	2170	506	376.25	1.60E-07
GO:0048522	positive regulation of cellular process	455	122	78.89	1.90E-07
GO:0009606	tropism	139	52	24.1	3.90E-07
GO:0031328	positive regulation of cellular biosynth...	222	65	38.49	4.30E-07
GO:0009825	multidimensional cell growth	75	34	13	4.50E-07
GO:0010557	positive regulation of macromolecule bio...	205	63	35.54	5.30E-07
GO:0045935	positive regulation of nucleobase-contai...	198	63	34.33	5.80E-07
GO:0006949	syncytium formation	32	18	5.55	9.60E-07
GO:0048869	cellular developmental process	1195	272	207.2	1.30E-06
GO:0006338	chromatin remodeling	40	17	6.94	1.70E-06
GO:0010628	positive regulation of gene expression	181	56	31.38	4.10E-06
GO:0009725	response to hormone	2090	488	362.38	8.50E-06
GO:0010143	cutin biosynthetic process	17	11	2.95	1.30E-05
