"Contig"	"popLRT"	"popQ"	"popQsig"
"1"	"Contig1"	"9.44653734661746e-05"	0.00164375675802676	TRUE
"2"	"Contig10"	"1"	1	FALSE
"3"	"Contig100"	"0.00128411827855104"	0.0119984740208695	TRUE
"4"	"Contig1000"	"0.0458378364987"	0.189885828151291	FALSE
"5"	"Contig10000"	"1.11613435151679e-08"	1.61783806809883e-06	TRUE
"6"	"Contig10001"	"0.316849866789175"	0.847414045270746	FALSE
"7"	"Contig10002"	"0.00054709455484202"	0.00630755679476279	TRUE
"8"	"Contig10003"	"1"	1	FALSE
"9"	"Contig10004"	"1"	1	FALSE
"10"	"Contig10005"	"1"	1	FALSE
"11"	"Contig10006"	"0.091833939240148"	0.32341149054656	FALSE
"12"	"Contig10007"	"1"	1	FALSE
"13"	"Contig10008"	"1"	1	FALSE
"14"	"Contig10009"	"0.997595527176263"	1	FALSE
"15"	"Contig1001"	"1"	1	FALSE
"16"	"Contig10010"	"0.00422435504766475"	0.0298641152025827	TRUE
"17"	"Contig10011"	"0.0379722927637218"	0.164308220225269	FALSE
"18"	"Contig10012"	"0.195727815407715"	0.581277701354896	FALSE
"19"	"Contig10013"	"1"	1	FALSE
"20"	"Contig10014"	"1"	1	FALSE
"21"	"Contig10015"	"0.0201643714763409"	0.100433448006222	FALSE
"22"	"Contig10016"	"1"	1	FALSE
"23"	"Contig10017"	"0.999836849699719"	1	FALSE
"24"	"Contig10018"	"2.04429276034726e-07"	1.58918371219658e-05	TRUE
"25"	"Contig10019"	"0.088811466228576"	0.315259782161167	FALSE
"26"	"Contig1002"	"1"	1	FALSE
"27"	"Contig10020"	"1"	1	FALSE
"28"	"Contig10021"	"1"	1	FALSE
"29"	"Contig10022"	"1"	1	FALSE
"30"	"Contig10023"	"0.000347266982288907"	0.00444734949154213	TRUE
"31"	"Contig10024"	"1"	1	FALSE
"32"	"Contig10025"	"1"	1	FALSE
"33"	"Contig10026"	"1"	1	FALSE
"34"	"Contig10027"	"0.0183975124952888"	0.0935341000177042	FALSE
"35"	"Contig10028"	"1"	1	FALSE
"36"	"Contig10029"	"0.999619815346665"	1	FALSE
"37"	"Contig1003"	"1"	1	FALSE
"38"	"Contig10030"	"1"	1	FALSE
"39"	"Contig10031"	"0.0612982056660998"	0.237140972649174	FALSE
"40"	"Contig10032"	"0.000891408105155843"	0.00912246993275703	TRUE
"41"	"Contig10033"	"0.00527537094491008"	0.0356071492691287	TRUE
"42"	"Contig10034"	"0.00761013116853787"	0.0472624307377219	TRUE
"43"	"Contig10035"	"0.123973556917471"	0.408100244758429	FALSE
"44"	"Contig10036"	"0.0172193462410094"	0.0887944384832988	FALSE
"45"	"Contig10037"	"1"	1	FALSE
"46"	"Contig10038"	"1"	1	FALSE
"47"	"Contig10039"	"0.00145553266354778"	0.0132235261664939	TRUE
"48"	"Contig1004"	"1"	1	FALSE
"49"	"Contig10040"	"1"	1	FALSE
"50"	"Contig10041"	"0.211118536577752"	0.616661764126017	FALSE
"51"	"Contig10042"	"1"	1	FALSE
"52"	"Contig10043"	"0.012603549996838"	0.069578345848294	FALSE
"53"	"Contig10044"	"1"	1	FALSE
"54"	"Contig10045"	"0.996258337775776"	1	FALSE
"55"	"Contig10046"	"1"	1	FALSE
"56"	"Contig10047"	"0.325733402388146"	0.866199893120717	FALSE
"57"	"Contig10048"	"1"	1	FALSE
"58"	"Contig10049"	"9.40444555436582e-06"	0.000288971241444924	TRUE
"59"	"Contig1005"	"0.0298942423839929"	0.136618456319987	FALSE
"60"	"Contig10050"	"0.0312955156148584"	0.1417590220369	FALSE
"61"	"Contig10051"	"1"	1	FALSE
"62"	"Contig10052"	"1"	1	FALSE
"63"	"Contig10053"	"0.998042859557983"	1	FALSE
"64"	"Contig10054"	"1"	1	FALSE
"65"	"Contig10055"	"0.00431537527783429"	0.0303984140545492	TRUE
"66"	"Contig10056"	"1"	1	FALSE
"67"	"Contig10057"	"1"	1	FALSE
"68"	"Contig10058"	"7.67406105134904e-07"	4.20378726748226e-05	TRUE
"69"	"Contig10059"	"0.49527224237379"	1	FALSE
"70"	"Contig1006"	"0.00812250758447847"	0.0497000018990543	TRUE
"71"	"Contig10060"	"1"	1	FALSE
"72"	"Contig10061"	"1"	1	FALSE
"73"	"Contig10062"	"1"	1	FALSE
"74"	"Contig10063"	"0.000928677189181862"	0.00942641330549467	TRUE
"75"	"Contig10064"	"0.143742382702298"	0.457205664303463	FALSE
"76"	"Contig10065"	"1"	1	FALSE
"77"	"Contig10066"	"1"	1	FALSE
"78"	"Contig10067"	"1"	1	FALSE
"79"	"Contig10068"	"1"	1	FALSE
"80"	"Contig10069"	"0.000134663593596639"	0.00214449664291266	TRUE
"81"	"Contig1007"	"1"	1	FALSE
"82"	"Contig10070"	"1"	1	FALSE
"83"	"Contig10071"	"0.0512942654320463"	0.206926770260144	FALSE
"84"	"Contig10072"	"0.0711626816036443"	0.265653115689777	FALSE
"85"	"Contig10073"	"1"	1	FALSE
"86"	"Contig10074"	"1"	1	FALSE
"87"	"Contig10075"	"1"	1	FALSE
"88"	"Contig10076"	"1"	1	FALSE
"89"	"Contig10077"	"0.0845655292460756"	0.303346276552582	FALSE
"90"	"Contig10078"	"1"	1	FALSE
"91"	"Contig10079"	"1"	1	FALSE
"92"	"Contig1008"	"0.999998651508573"	1	FALSE
"93"	"Contig10080"	"1"	1	FALSE
"94"	"Contig10081"	"1"	1	FALSE
"95"	"Contig10082"	"1"	1	FALSE
"96"	"Contig10083"	"1"	1	FALSE
"97"	"Contig10084"	"0.999749362075431"	1	FALSE
"98"	"Contig10085"	"0.000698312346073118"	0.0075757889078695	TRUE
"99"	"Contig10086"	"1"	1	FALSE
"100"	"Contig10087"	"1"	1	FALSE
