Array	native	invasive
220768A01_X4_U01_Centaurea_532	1	0
220768A02_X4_U01_Centaurea_532	1	0
220768A03_X4_U01_Centaurea_532	1	0
220768A04_X4_U01_Centaurea_532	1	0
260513A01_X4_U01_Centaurea_532	1	0
260513A02_X4_U01_Centaurea_532	1	0
260513A03_X4_U01_Centaurea_532	1	0
260513A04_X4_U01_Centaurea_532	1	0
260942A01_X4_U01_Centaurea_532	1	0
260942A02_X4_U01_Centaurea_532	1	0
260942A03_X4_U01_Centaurea_532	1	0
260942A04_X4_U01_Centaurea_532	1	0
260948A01_X4_U01_Centaurea_532	0	1
260948A02_X4_U01_Centaurea_532	0	1
260948A03bis_X4_U01_Centaurea_532	0	1
260948A03_X4_U01_Centaurea_532	0	1
260948A03_X4_U01_Centaurea_532_2	0	1
260948A04_X4_U01_Centaurea_532	0	1
260961A01_X4_U01_Centaurea_532	0	1
260961A02_X4_U01_Centaurea_532	0	1
260961A03_X4_U01_Centaurea_532	0	1
260961A04_X4_U01_Centaurea_532	0	1
260966A01_X4_U01_Centaurea_532	0	1
260966A02_X4_U01_Centaurea_532	0	1
260966A03_X4_U01_Centaurea_532	0	1
260966A04_X4_U01_Centaurea_532	0	1
260967A01_X4_U01_Centaurea_532	1	0
260967A02_X4_U01_Centaurea_532	1	0
260967A03_X4_U01_Centaurea_532	1	0
260967A04_X4_U01_Centaurea_532	1	0
261033A01_X4_U01_Centaurea_532	0	1
261033A02_X4_U01_Centaurea_532	0	1
261033A03_X4_bis_U01_Centaurea_532	0	1
261033A04_X4_bis_U01_Centaurea_532	0	1
261220A01_X4_U01_Centaurea_532	1	0
261220A02_X4_U01_Centaurea_532	1	0
261220A03_X4_U01_Centaurea_532	1	0
261220A04_X4_U01_Centaurea_532	1	0
261411A01_X4_U01_Centaurea_532	1	0
261411A02_X4_U01_Centaurea_532	0	1
261411A03_X4_U01_Centaurea_532	0	1
261411A04_X4_U01_Centaurea_532	1	0
261415A01_X4_U01_Centaurea_532	1	0
261415A02_X4_U01_Centaurea_532	1	0
261415A03_X4_U01_Centaurea_532	1	0
261415A04_X4_U01_Centaurea_532	1	0
263785A01_X4_U01_Centaurea_532	0	1
263785A02_X4_U01_Centaurea_532	0	1
263785A03_bis_X4_U01_Centaurea_532	1	0
263785A03_X4_U01_Centaurea_532	1	0
263785A04_X4_U01_Centaurea_532	1	0
263797A01_X4_U01_Centaurea_532	1	0
263797A02_X4_U01_Centaurea_532	1	0
263797A03_X4_U01_Centaurea_532	0	1
263797A04_X4_U01_Centaurea_532	0	1
263798A01_X4_U01_Centaurea_532	0	1
263798A02_X4_U01_Centaurea_532	0	1
263798A03_X4_U01_Centaurea_532	0	1
263798A04_X4_U01_Centaurea_532	1	0
265944A01_X4_U01_Centaurea_2_532	0	1
265944A02_X4_U01_Centaurea_2_532	1	0
265944A03_X4_U01_Centaurea_2_532	1	0
265944A04_X4_U01_Centaurea_532	1	0
265945A01_X4_U01_Centaurea_4_532	0	1
265945A02_X4_U01_Centaurea_4_532	0	1
265945A03_X4_U01_Centaurea_532	0	1
265945A04_X4_U01_Centaurea_3_532	0	1
266669A01_X4_U01_Centaurea_532	1	0
266669A02_X4_U01_Centaurea_532	1	0
266669A03_X4_U01_Centaurea_532	1	0
266669A04_X4_U01_Centaurea_532	1	0
266698A01_X4_U01_Centaurea_532	0	1
266698A02_X4_U01_Centaurea_532	1	0
266698A03_X4_U01_Centaurea_532	1	0
266698A04_X4_U01_Centaurea_532	1	0
266700A01_X4_U01_Centaurea_532	1	0
266700A01_X4_U01_Centaurea_532_2	1	0
266700A02_X4_U01_Centaurea_532	1	0
266700A02_X4_U01_Centaurea_532_2	1	0
266700A03_X4_U01_Centaurea_532	0	1
266700A03_X4_U01_Centaurea_532_2	0	1
266700A04_X4_U01_Centaurea_532	1	0
266700A04_X4_U01_Centaurea_532_2	1	0
299628A01_X4_U01_Centaurea_532	1	0
299628A02_X4_U01_Centaurea_532	1	0
299628A02_X4_U01_Centaurea_532_2	1	0
299628A03_X4_U01_Centaurea_532	1	0
299628A04_X4_U01_Centaurea_532	1	0
299633A01_X4_U01_Centaurea_532	0	1
299633A02_X4_U01_Centaurea_532	0	1
299633A03_X4_U01_Centaurea_532	0	1
299633A04_X4_U01_Centaurea_532	1	0
299633A04_X4_U01_Centaurea_532_2	1	0
299636A01_X4_U01_Centaurea_532	0	1
299636A01_X4_U01_Centaurea_532_2	0	1
299636A02_X4_U01_Centaurea_532	0	1
299636A03_X4_U01_Centaurea_532	1	0
299636A04_X4_U01_Centaurea_532	1	0
299636A04_X4_U01_Centaurea_532_2	1	0
299641A01_X4_U01_Centaurea_532	0	1
299641A01_X4_U01_Centaurea_532_2	0	1
299641A02_X4_U01_Centaurea_532	0	1
299641A03_X4_U01_Centaurea_532	0	1
299641A03_X4_U01_Centaurea_532_2	0	1
299641A04_X4_U01_Centaurea_532	0	1
299709A01_X4_U01_Centaurea_532	0	1
299709A01_X4_U01_Centaurea_532_2	0	1
299709A02_X4_U01_Centaurea_532	0	1
299709A03_X4_U01_Centaurea_532	0	1
299709A04_X4_U01_Centaurea_532	0	1
299709A04_X4_U01_Centaurea_532_2	0	1
