"Contig"	"InvExprVal"	"NatExprVal"	"InvUp"	"OriginsEq"	"InvDefUp"	"InvDefDn"
"1"	"Contig1007"	11.5751453305858	11.4252331276192	TRUE	FALSE	TRUE	TRUE
"3"	"Contig10572"	10.8074344722175	9.94188212802656	TRUE	FALSE	TRUE	TRUE
"5"	"Contig10573"	12.2869566658786	12.0473236579898	TRUE	FALSE	TRUE	TRUE
"7"	"Contig10722"	12.6322493104018	12.4427854393724	TRUE	FALSE	TRUE	TRUE
"9"	"Contig10774"	12.3437499787964	12.3114828094067	TRUE	TRUE	FALSE	TRUE
"11"	"Contig10847"	9.31284471204408	9.23187900550822	TRUE	TRUE	FALSE	TRUE
"13"	"Contig11096"	13.3740516266123	13.0910019495601	TRUE	FALSE	TRUE	TRUE
"15"	"Contig11106"	12.0640281597875	11.8682050302848	TRUE	FALSE	TRUE	TRUE
"17"	"Contig11151"	11.2047553575219	11.015415069779	TRUE	FALSE	TRUE	TRUE
"19"	"Contig11376"	12.9326054919237	12.7792011954291	TRUE	FALSE	TRUE	TRUE
"21"	"Contig11541"	13.7337015840173	13.5861183055859	TRUE	FALSE	TRUE	TRUE
"23"	"Contig11691"	13.8273777981795	13.6592008417213	TRUE	FALSE	TRUE	TRUE
"25"	"Contig11926"	12.4619979827297	12.3820599402316	TRUE	TRUE	FALSE	TRUE
"27"	"Contig12049"	12.7163989140977	12.2045203747636	TRUE	FALSE	TRUE	TRUE
"29"	"Contig12069"	11.1144058279732	10.7611697338071	TRUE	FALSE	TRUE	TRUE
"31"	"Contig12082"	9.54167680814736	9.26795456585213	TRUE	FALSE	TRUE	TRUE
"33"	"Contig12462"	11.4789689424909	11.3456381253165	TRUE	FALSE	TRUE	TRUE
"35"	"Contig12728"	13.3179176633986	13.2365097133821	TRUE	TRUE	FALSE	TRUE
"37"	"Contig12765"	11.6762988707125	11.4696282459504	TRUE	FALSE	TRUE	TRUE
"39"	"Contig12795"	13.601369673903	13.7141078841004	FALSE	FALSE	FALSE	FALSE
"41"	"Contig13401"	11.6345726753237	11.5408301443989	TRUE	TRUE	FALSE	TRUE
"43"	"Contig13571"	13.179121727233	13.1717729992077	TRUE	TRUE	FALSE	TRUE
"45"	"Contig13888"	14.5383423816705	14.6070269976635	FALSE	TRUE	FALSE	TRUE
"47"	"Contig1389"	8.69261225917532	8.51773613862994	TRUE	FALSE	TRUE	TRUE
"49"	"Contig13898"	11.4622910021622	12.0165824750028	FALSE	FALSE	FALSE	FALSE
"51"	"Contig1408"	9.09562776408153	8.55274257917637	TRUE	FALSE	TRUE	TRUE
"53"	"Contig14184"	13.3095089795263	12.8769258583475	TRUE	FALSE	TRUE	TRUE
"55"	"Contig14272"	12.6236506552011	12.3658161576775	TRUE	FALSE	TRUE	TRUE
"57"	"Contig14379"	11.9182706566446	11.3167586512096	TRUE	FALSE	TRUE	TRUE
"59"	"Contig14491"	12.0561874498598	11.3490223406128	TRUE	FALSE	TRUE	TRUE
"61"	"Contig14645"	12.7387528866273	12.6011837927411	TRUE	FALSE	TRUE	TRUE
"63"	"Contig14696"	12.6291583604774	12.3599133721053	TRUE	FALSE	TRUE	TRUE
"65"	"Contig1544"	13.8046036238003	13.677240264569	TRUE	FALSE	TRUE	TRUE
"67"	"Contig1613"	13.5328195784068	12.9955565740719	TRUE	FALSE	TRUE	TRUE
"69"	"Contig178"	11.8459996814708	12.0215918761636	FALSE	FALSE	FALSE	FALSE
"71"	"Contig1902"	13.7748538730097	13.4752378686179	TRUE	FALSE	TRUE	TRUE
"73"	"Contig1971"	12.8052288095248	12.6685778095945	TRUE	FALSE	TRUE	TRUE
"75"	"Contig2003"	12.116410609449	12.0001728162762	TRUE	FALSE	TRUE	TRUE
"77"	"Contig2440"	11.1645270060215	10.6103753759586	TRUE	FALSE	TRUE	TRUE
"79"	"Contig2725"	13.5448240339934	13.2478112719181	TRUE	FALSE	TRUE	TRUE
"81"	"Contig2808"	12.4973240735664	12.2352137822806	TRUE	FALSE	TRUE	TRUE
"83"	"Contig3296"	12.3703200584085	11.9218708125528	TRUE	FALSE	TRUE	TRUE
"85"	"Contig3843"	12.4902006997931	12.1318785950359	TRUE	FALSE	TRUE	TRUE
"87"	"Contig4082"	13.152855400929	12.9324038425432	TRUE	FALSE	TRUE	TRUE
"89"	"Contig4343"	10.9149466399757	10.8014869453981	TRUE	FALSE	TRUE	TRUE
"91"	"Contig439"	12.2845410103182	11.8176388460201	TRUE	FALSE	TRUE	TRUE
"93"	"Contig4595"	9.59436386123011	10.1946347116087	FALSE	FALSE	FALSE	FALSE
"95"	"Contig4725"	12.5191557148988	12.1235454561681	TRUE	FALSE	TRUE	TRUE
"97"	"Contig4777"	9.69059966905734	9.48780620281901	TRUE	FALSE	TRUE	TRUE
"99"	"Contig4916"	5.21828998598386	4.2637985878305	TRUE	FALSE	TRUE	TRUE
"101"	"Contig496"	9.7099816377214	8.98027093039037	TRUE	FALSE	TRUE	TRUE
"103"	"Contig5037"	11.8601517858187	11.6062583713168	TRUE	FALSE	TRUE	TRUE
"105"	"Contig5134"	10.9304485748244	10.4805035509913	TRUE	FALSE	TRUE	TRUE
"107"	"Contig5210"	12.9414549671945	12.8069013019269	TRUE	FALSE	TRUE	TRUE
"109"	"Contig5334"	8.21430609619266	7.4683670293291	TRUE	FALSE	TRUE	TRUE
"111"	"Contig5731"	9.55342520074398	9.13876931547736	TRUE	FALSE	TRUE	TRUE
"113"	"Contig5759"	10.7638063729382	10.6858079543843	TRUE	TRUE	FALSE	TRUE
"115"	"Contig5906"	13.8347053636867	13.6904946165773	TRUE	FALSE	TRUE	TRUE
"117"	"Contig5922"	13.5775318396695	13.5894985217444	FALSE	TRUE	FALSE	TRUE
"119"	"Contig6089"	11.7110113531763	11.7993684366325	FALSE	TRUE	FALSE	TRUE
"121"	"Contig6131"	9.71947322797129	9.81496949221638	FALSE	TRUE	FALSE	TRUE
"123"	"Contig6761"	11.9652039633574	11.7747062105341	TRUE	FALSE	TRUE	TRUE
"125"	"Contig6794"	11.9705977986894	11.5919137943244	TRUE	FALSE	TRUE	TRUE
"127"	"Contig686"	11.9047741337529	11.7759685009295	TRUE	FALSE	TRUE	TRUE
"129"	"Contig6909"	11.4644826148969	11.0512383725309	TRUE	FALSE	TRUE	TRUE
"131"	"Contig6988"	9.44971697978949	8.96095555113142	TRUE	FALSE	TRUE	TRUE
"133"	"Contig712"	12.6889880827856	12.3048595701307	TRUE	FALSE	TRUE	TRUE
"135"	"Contig7289"	7.90966987149818	7.87871720588317	TRUE	TRUE	FALSE	TRUE
"137"	"Contig7366"	8.14911179227249	9.32923911789274	FALSE	FALSE	FALSE	FALSE
"139"	"Contig7700"	11.0492755086257	10.9615906419472	TRUE	TRUE	FALSE	TRUE
"141"	"Contig802"	12.8223311172144	12.5604177758687	TRUE	FALSE	TRUE	TRUE
"143"	"Contig8037"	9.76730007463463	10.0336674808964	FALSE	FALSE	FALSE	FALSE
"145"	"Contig8133"	12.6131995162933	12.338596343514	TRUE	FALSE	TRUE	TRUE
"147"	"Contig8221"	10.1334814899353	10.7434032143092	FALSE	FALSE	FALSE	FALSE
"149"	"Contig880"	11.4019651304492	11.363278658172	TRUE	TRUE	FALSE	TRUE
"151"	"Contig8912"	11.7270117394172	11.8686533145766	FALSE	FALSE	FALSE	FALSE
"153"	"Contig8924"	11.9446426094419	11.5845785234225	TRUE	FALSE	TRUE	TRUE
"155"	"Contig9647"	13.8682638982971	13.7207666180242	TRUE	FALSE	TRUE	TRUE
"157"	"Contig9872"	10.1340248080132	9.70163748438901	TRUE	FALSE	TRUE	TRUE
"159"	"DKUS022_white_c12131"	11.9122880271741	11.7959638146362	TRUE	FALSE	TRUE	TRUE
"161"	"DKUS022_white_c15111"	11.1616779468722	10.7475132118291	TRUE	FALSE	TRUE	TRUE
"163"	"DKUS022_white_c15989"	12.4875821059553	12.7108577517314	FALSE	FALSE	FALSE	FALSE
"165"	"DKUS022_white_c16489"	12.4647550734379	13.2658094437048	FALSE	FALSE	FALSE	FALSE
"167"	"DKUS022_white_c16728"	12.904989961189	12.9622801594611	FALSE	TRUE	FALSE	TRUE
"169"	"DKUS022_white_c17803"	11.1809051238399	11.568928909916	FALSE	FALSE	FALSE	FALSE
"171"	"DKUS022_white_c18316"	8.45063442617624	8.3681865697292	TRUE	TRUE	FALSE	TRUE
"173"	"DKUS022_white_c18389"	11.7886399864837	11.6994418872281	TRUE	TRUE	FALSE	TRUE
"175"	"DKUS022_white_c18711"	9.16007404262335	8.6459170727772	TRUE	FALSE	TRUE	TRUE
"177"	"DKUS022_white_c19257"	9.48742261294182	8.94188506732607	TRUE	FALSE	TRUE	TRUE
"179"	"DKUS022_white_c19727"	11.1594047151125	11.1751985105024	FALSE	TRUE	FALSE	TRUE
"181"	"DKUS022_white_c20772"	14.9632737429927	14.8256515157087	TRUE	FALSE	TRUE	TRUE
"183"	"DKUS022_white_c22015"	9.72474170746755	9.48318362408936	TRUE	FALSE	TRUE	TRUE
"185"	"DKUS022_white_c22276"	10.1213460435626	10.3472930273139	FALSE	FALSE	FALSE	FALSE
"187"	"DKUS022_white_c23410"	10.3336072984192	9.71720420473069	TRUE	FALSE	TRUE	TRUE
"189"	"DKUS022_white_c2392"	13.4123750993165	13.1777102251249	TRUE	FALSE	TRUE	TRUE
"191"	"DKUS022_white_c24532"	10.2100333841996	9.59981983039781	TRUE	FALSE	TRUE	TRUE
"193"	"DKUS022_white_c25896"	9.64697138035867	9.24620194361642	TRUE	FALSE	TRUE	TRUE
"195"	"DKUS022_white_c26201"	13.2905184280055	13.0066374451034	TRUE	FALSE	TRUE	TRUE
"197"	"DKUS022_white_c26666"	6.31980845805272	5.81780307024106	TRUE	FALSE	TRUE	TRUE
"199"	"DKUS022_white_c26945"	11.9139233947515	12.4260216055199	FALSE	FALSE	FALSE	FALSE
"201"	"DKUS022_white_c27999"	13.44765931026	13.2923024342634	TRUE	FALSE	TRUE	TRUE
