TAIR Accession	Name	Description
AT1G10940	SNRK2.4	Encodes a plant protein kinase similar to the calcium/calmodulin-dependent protein kinase subfamily and the SNF1 kinase subfamily (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress. Kinase activity of its homolog in tobacco is induced by hyperosmotic condition within 1 minute.
AT4G35090	CAT2	"Encodes a peroxisomal catalase, highly expressed in bolts and leaves. mRNA expression patterns show circadian regulation with mRNA levels being high in the subjective early morning. Loss of function mutations have increased H2O2 levels and increased H2O2 sensitivity. Mutants accumulate more toxic ions yet show decreased sensitivity to Li+. This decreased sensitivity is most likely due to an insensitivity to ethylene. Note that in Queval et al. (2007) Plant Journal, 52(4):640, SALK_057998 is named as cat2-1, SALK_076998 is named as cat2-2; in Bueso et al. (2007) Plant Journal, 52(6):1052, SALK_076998 is named as cat2-1. TAIR has adopted the nomenclature consistent with that in Bueso et al. (2007) after consultation with the authors: SALK_076998 (cat2-1), SALK_057998 (cat2-2)."
AT4G21960	PRXR1	Encodes AT4g21960 (AT4g21960/T8O5_170).
AT1G07890	APX1	"Encodes a cytosolic ascorbate peroxidase APX1. Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells. Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress."
AT5G62530	ALDH12A1	"Encodes mitochondrial Delta-pyrroline-5- carboxylate dehydrogenase. Involved in the catabolism of proline to glutamate. Involved in protection from proline toxicity. Induced at pathogen infection sites. P5CDH and SRO5 (an overlapping gene in the sense orientation) generate 24-nt and 21-nt siRNAs, which together are components of a regulatory loop controlling reactive oxygen species (ROS) production and stress response."
AT3G25800	PP2AA2	one of three genes encoding the protein phosphatase 2A regulatory subunit
AT3G45140	LOX2	Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection.
AT2G44060	LEA14	"Late embryogenesis abundant protein, group 2; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to cadmium ion, response to desiccation, embryo development ending in seed dormancy; LOCATED IN: plasma membrane, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Water stress and hypersensitive response domain (InterPro:IPR013990), Late embryogenesis abundant protein, group 2 (InterPro:IPR004864); BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant protein (TAIR:AT1G01470.1); Has 294 Blast hits to 286 proteins in 78 species: Archae - 4; Bacteria - 52; Metazoa - 0; Fungi - 0; Plants - 235; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink)."
AT1G15690	AVP1	"Encodes a H(+)-translocating (pyrophosphate-energized) inorganic pyrophosphatase (H(+)-PPase; EC 3.6.1.1) located in the vacuolar membrane. Expression is found in all tissues examined, including meristems and floral organ primordium. Expression is particularly enhanced in pollen, and is repressed by light. Over expression and loss of function phenotypes suggest AVP1 is involved in regulation of apoplastic pH and auxin transport. The effect on auxin transport likely involves effects of extracellular pH on subcellular localization of auxin efflux carriers such as PIN1."
AT4G09570	CPK4	Encodes a member of Calcium Dependent Protein Kinase (CDPK) gene family.Positive regulator of ABA signaling. Phosphorylates ABA responsive transcription factors ABF1 and ABF4.
