"Contig"	"TAIRaccessions"	"intQ"	"originQ"	"trtQ"	"covQ"	"GOterms"
"Contig100"	"Contig100"	"AT1G51470,AT1G21065"	0.579276539896876	1	0.00130195012386661	1	"GO:0008150, GO:0009507, GO:0004553, GO:0008422, GO:0009651, GO:0009651, GO:0012505, GO:0019137"
"Contig10001"	"Contig10001"	"AT5G39820,AT3G59140"	0.356842801292655	1	0.00790648927928963	0.645719783617783	"GO:0003700, GO:0005575, GO:0006355, GO:0006355, GO:0007275, GO:0005774, GO:0005774, GO:0005774, GO:0006810, GO:0042626, GO:0042626, GO:0055085, GO:0055085"
"Contig10006"	"Contig10006"	"AT1G04400,AT1G79040"	0.208735799547546	0.295005750333511	0.00975008865091481	1	"GO:0005515, GO:0009507, GO:0009507, GO:0009523, GO:0009523, GO:0009534, GO:0009534, GO:0009534, GO:0009534, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009579, GO:0010270, GO:0010270, GO:0010270, GO:0010270, GO:0015979, GO:0015979, GO:0005515, GO:0005515, GO:0005634, GO:0005634, GO:0005773, GO:0005773, GO:0005773, GO:0005773, GO:0006325, GO:0006325, GO:0006338, GO:0006338, GO:0009414, GO:0009414, GO:0009416, GO:0009637, GO:0009638, GO:0009882, GO:0009909, GO:0009911, GO:0010075, GO:0010118, GO:0010617, GO:0042802, GO:0042803"
"Contig10012"	"Contig10012"	"AT3G43810,NA"	0.740381524038676	0.934775777432034	0.0336792909883877	1	"GO:0005509, GO:0005509, GO:0005513, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0010099, GO:0010099, GO:0019722"
"Contig10015"	"Contig10015"	"AT4G23420,AT5G04260"	0.785248891975459	0.924798013405695	0.0242556755117772	0.38398570539377	"GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0045454, GO:0003824, GO:0003824, GO:0003824, GO:0005488, GO:0005488, GO:0005488, GO:0008152, GO:0008152, GO:0008152, GO:0008152, GO:0009507, GO:0016491, GO:0016491, GO:0016491, GO:0016491, GO:0055114, GO:0055114, GO:0055114"
"Contig10028"	"Contig10028"	"AT5G12230,AT5G57490"	0.13513198806778	1	0.00258081902961718	0.589780521602079	"GO:0003674, GO:0008150, GO:0005739, GO:0005739, GO:0005739, GO:0005741, GO:0005741, GO:0005741, GO:0005741, GO:0005886, GO:0006820, GO:0008308, GO:0008308, GO:0009617, GO:0016020"
"Contig10029"	"Contig10029"	"AT1G70550,AT3G09090"	0.769888047748977	0.1093812434583	0.00323323028674108	0.573514336243703	"GO:0005509, GO:0010208, GO:0010208, GO:0010208, GO:0016020, GO:0008150, GO:0012505"
"Contig10030"	"Contig10030"	"AT3G07770,NA"	0.586327884198035	0.376768700234565	0.0208274850924472	0.854716849474675	"GO:0005524, GO:0005524, GO:0005618, GO:0005739, GO:0005739, GO:0005739, GO:0005739, GO:0006457, GO:0006457, GO:0006457, GO:0006457, GO:0006457, GO:0006457, GO:0006950, GO:0009570, GO:0009570, GO:0009570, GO:0009570"
"Contig10034"	"Contig10034"	"AT5G01850,AT1G65790"	0.842205195204963	0.544475458158972	0.0154045276428018	0.0930387882324875	"GO:0004712, GO:0004712, GO:0006468, GO:0006468, GO:0006468, GO:0016301, GO:0004672, GO:0004672, GO:0004674, GO:0004674, GO:0005634, GO:0006468, GO:0006468, GO:0006468, GO:0016020, GO:0016301, GO:0019199, GO:0019199, GO:0019199, GO:0046777, GO:0046777, GO:0046777"
"Contig10041"	"Contig10041"	"AT4G04350,AT5G06530"	0.458777866951277	1	0.000234217136484668	0.438687176750388	"GO:0000166, GO:0004812, GO:0004812, GO:0004823, GO:0005524, GO:0005524, GO:0005739, GO:0006418, GO:0006418, GO:0006418, GO:0009507, GO:0009507, GO:0009507, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009793, GO:0009793, GO:0005886, GO:0005886, GO:0005886, GO:0009414, GO:0009414, GO:0010148, GO:0042626, GO:0042626"
"Contig10048"	"Contig10048"	"AT4G02020,NA"	0.40412175247982	0.634852741490662	0.0129504009589016	0.613115355023523	"GO:0003700, GO:0003727, GO:0005515, GO:0005634, GO:0006349, GO:0006349, GO:0009506, GO:0009960, GO:0010048, GO:0010048"
"Contig10051"	"Contig10051"	"AT1G27760,AT2G19385"	0.272150608960791	0.235770868923981	0.311597114837657	0.0278719686781237	"GO:0005488, GO:0005488, GO:0005488, GO:0005634, GO:0005737, GO:0009651, GO:0009651, GO:0005622, GO:0008150, GO:0008270"
"Contig10052"	"Contig10052"	"AT1G34760,NA"	0.649857728334733	0.743016599414342	0.00507086189775555	1	"GO:0005575, GO:0016597, GO:0045309, GO:0051117"
"Contig10055"	"Contig10055"	"AT5G59880,AT5G26667"	0.771538181972503	1	0.0322885458554487	1	"GO:0003779, GO:0003779, GO:0005515, GO:0005622, GO:0005739, GO:0005739, GO:0005829, GO:0005829, GO:0005886, GO:0005886, GO:0006979, GO:0009506, GO:0009506, GO:0009507, GO:0009507, GO:0046686, GO:0046686, GO:0004127, GO:0005829, GO:0005829, GO:0005829, GO:0009041, GO:0009041, GO:0009041, GO:0009041, GO:0009173, GO:0009173"
"Contig10057"	"Contig10057"	"AT1G01470,NA"	0.557213299840352	1	0.0163327658411824	0.129201646264208	"GO:0003674, GO:0003674, GO:0005829, GO:0009269, GO:0009269, GO:0009611, GO:0009644, GO:0009793, GO:0050832, GO:0050832"
"Contig1007"	"Contig1007"	"AT5G41340,AT2G39390"	0.0322803374551486	0.339551516947144	0.431126629568724	0.423981915947716	"GO:0004842, GO:0004842, GO:0004842, GO:0006511, GO:0006511, GO:0006511, GO:0006511, GO:0006511, GO:0006511, GO:0003735, GO:0003735, GO:0005840, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0022625, GO:0022625, GO:0022625, GO:0022625, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0042254"
"Contig10070"	"Contig10070"	"AT3G20890,AT3G15850"	0.865241307045443	0.190949814616606	0.00560548055811596	1	"GO:0006636, GO:0006636, GO:0009579, GO:0009979, GO:0010205, GO:0010205, GO:0010205, GO:0010205, GO:0016491, GO:0000166, GO:0003676, GO:0003723, GO:0005575, GO:0008150"
"Contig10079"	"Contig10079"	"AT1G29700,NA"	0.390498930639485	0.247952728521178	0.0306502875058432	1	"GO:0003674, GO:0008150, GO:0009507"
"Contig10081"	"Contig10081"	"AT3G47580,NA"	0.744086480881746	0.140683296106379	1.26164109638663e-07	0.284322733859018	"GO:0004674, GO:0004674, GO:0005524, GO:0006468, GO:0006468, GO:0006468, GO:0006468, GO:0006468, GO:0006468, GO:0007169, GO:0012505, GO:0016301"
"Contig10088"	"Contig10088"	"AT2G18080,AT3G56650"	0.791133646332748	1	0.000980662016361131	1	"GO:0006508, GO:0008236, GO:0008236, GO:0009561, GO:0005509, GO:0005515, GO:0009507, GO:0009507, GO:0009534, GO:0009534, GO:0009534, GO:0009534, GO:0009543, GO:0009543, GO:0009543, GO:0009543, GO:0009543, GO:0009543, GO:0009543, GO:0009543, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009579, GO:0015979, GO:0015979, GO:0031977"
"Contig10090"	"Contig10090"	"AT3G21865,AT5G15450"	0.647030545853429	0.836719774083152	0.0295634797050683	1	"GO:0005515, GO:0005575, GO:0007031, GO:0007031, GO:0000166, GO:0005524, GO:0005524, GO:0009408, GO:0009408, GO:0009408, GO:0009408, GO:0009507, GO:0009507, GO:0009532, GO:0009532, GO:0009532, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009658, GO:0009658, GO:0016887, GO:0017111"
"Contig10091"	"Contig10091"	"AT5G22100,AT2G23940"	0.707007806770306	0.071781303810338	0.0313918863762348	1	"GO:0005886, GO:0003824, GO:0003963, GO:0005575, GO:0008150"
"Contig10096"	"Contig10096"	"AT5G20220,NA"	0.446550523567872	0.504644061685554	0.00658428099540553	0.942894776697711	"GO:0003676, GO:0003676, GO:0003676, GO:0006457, GO:0006457, GO:0006457, GO:0006457, GO:0006457, GO:0006457, GO:0008270, GO:0008270, GO:0031072, GO:0031072, GO:0051082, GO:0051082"
"Contig101"	"Contig101"	"AT5G08070,AT5G10470"	0.604372658333029	1	0.0205638261749849	1	"GO:0000910, GO:0000913, GO:0000913, GO:0003777, GO:0005515, GO:0005515, GO:0005515, GO:0005829, GO:0005829, GO:0005829, GO:0005886, GO:0005886, GO:0005886, GO:0005886, GO:0005886, GO:0008017, GO:0009504, GO:0009504, GO:0009524, GO:0009524, GO:0009903, GO:0009903, GO:0009904, GO:0009904, GO:0009941, GO:0009941, GO:0009941, GO:0009941, GO:0016020, GO:0016020, GO:0003700, GO:0003700, GO:0006355, GO:0006355, GO:0009965, GO:0030154, GO:0045962"
"Contig10106"	"Contig10106"	"AT1G10600,AT4G15950"	0.790130036432814	1	0.00695897933051185	0.0874324429323792	"GO:0003674, GO:0005739, GO:0006511, GO:0006511, GO:0006511, GO:0009507, GO:0009507, GO:0000166, GO:0000418, GO:0000418, GO:0000418, GO:0000418, GO:0000419, GO:0000419, GO:0000419, GO:0000419, GO:0003824, GO:0003899, GO:0005634, GO:0010426, GO:0010426, GO:0010426, GO:0016246, GO:0016246, GO:0030422, GO:0030422, GO:0051325"
