CG_ID	HU_ID	HaT13l_ID	AGI_ID from HU	AGI_ID from HaT13l	name from Hu	name from HaT13l	description from Hu	description from HAt13l				
CG0004	HuCL01516C001	HaT13l003684	AT5G67030	AT5G67030	ABA1	ABA1	"Encodes a single copy zeaxanthin epoxidase gene that functions in first step of the biosynthesis of the abiotic stress hormone abscisic acid (ABA). Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do."	"Encodes a single copy zeaxanthin epoxidase gene that functions in first step of the biosynthesis of the abiotic stress hormone abscisic acid (ABA). Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do.  protein_coding  ABA DEFICIENT 1 (ABA1)  ABA DEFICIENT 1 (ABA1);LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6 (LOS6);NON-PHOTOCHEMICAL QUENCHING 2 (NPQ2);ARABIDOPSIS THALIANA ABA DEFICIENT 1 (ATABA1);ZEAXANTHIN EPOXIDASE (ZEP);IMPAIRED IN BABA-INDUCED STERILITY 3 (IBS3);ARABIDOPSIS THALIANA ZEAXANTHIN EPOXIDASE (ATZEP)"				
CG0007	HuCL07759C001	HaT13l000450	AT2G27150	AT2G27150	AAO3	AAO3	Encodes the aldehyde oxidase delta isoform catalyzing the final step in abscisic acid biosynthesis.	Encodes the aldehyde oxidase delta isoform  catalyzing the final step in abscisic acid  biosynthesis.   protein_coding  ABSCISIC ALDEHYDE OXIDASE 3 (AAO3)      ABSCISIC ALDEHYDE OXIDASE 3 (AAO3);ARABIDOPSIS THALIANA ALDEHYDE OXIDASE 3 (At-AO3);ALDEHYDE OXIDASE DELTA (AOdelta); (AAO3); (AtAAO3)				
CG0009	HuCL01722C001	HaT13l025004	AT1G10940	AT1G10940	SNRK2.4	SNRK2.4	Encodes a plant protein kinase similar to the calcium/calmodulin-dependent protein kinase subfamily and the SNF1 kinase subfamily (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress. Kinase activity of its homolog in tobacco is induced by hyperosmotic condition within 1 minute.	Encodes a plant protein kinase similar to the calcium/calmodulin-dependent protein kinase subfamily and the SNF1 kinase subfamily (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress. Kinase activity of its homolog in tobacco is induced by hyperosmotic condition within 1 minute.  protein_coding  SNF1-RELATED PROTEIN KINASE 2.4 (SNRK2.4)       ARABIDOPSIS SERINE/THREONINE KINASE 1 (ASK1);SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-4 (SNRK2-4);SNF1-RELATED PROTEIN KINASE 2.4 (SNRK2.4); (SRK2A)				
CG0012	HuCL00001C054	HaT13l001148	AT4G35090	AT4G35090	CAT2	CAT2	"Encodes a peroxisomal catalase, highly expressed in bolts and leaves. mRNA expression patterns show circadian regulation with mRNA levels being high in the subjective early morning. Loss of function mutations have increased H2O2 levels and increased H2O2 sensitivity. Mutants accumulate more toxic ions yet show decreased sensitivity to Li+. This decreased sensitivity is most likely due to an insensitivity to ethylene. Note that in Queval et al. (2007) Plant Journal, 52(4):640, SALK_057998 is named as cat2-1, SALK_076998 is named as cat2-2; in Bueso et al. (2007) Plant Journal, 52(6):1052, SALK_076998 is named as cat2-1. TAIR has adopted the nomenclature consistent with that in Bueso et al. (2007) after consultation with the authors: SALK_076998 (cat2-1), SALK_057998 (cat2-2)."	"Encodes a peroxisomal catalase, highly expressed in bolts and leaves.  mRNA expression patterns show circadian regulation with mRNA levels being high in the subjective early morning. Loss of function mutations have increased H2O2 levels and increased H2O2  sensitivity. Mutants accumulate more toxic ions yet show decreased sensitivity to Li+. This decreased sensitivity is most likely due to an insensitivity to ethylene.  Note that in Queval et al. (2007) Plant Journal, 52(4):640, SALK_057998 is named as cat2-1, SALK_076998 is named as cat2-2; in Bueso et al. (2007) Plant Journal, 52(6):1052, SALK_076998 is named as cat2-1. TAIR has adopted the nomenclature consistent with that in Bueso et al. (2007) after consultation with the authors: SALK_076998 (cat2-1), SALK_057998 (cat2-2).    protein_coding  CATALASE 2 (CAT2)       CATALASE 2 (CAT2)"				
CG0017	HuCL00001C425	HaT13l020848	AT3G30775	AT3G30775	ERD5	ERD5	"Encodes a proline oxidase that is predicted to localize to the inner mitochondrial membrane, its mRNA expression induced by high levels of Al and by osmotic stress. The promoter contains an L-proline-inducible element."	"Encodes a proline oxidase that is predicted to localize to the inner mitochondrial membrane, its mRNA expression induced by high levels of Al and by osmotic stress.  The promoter contains an L-proline-inducible element.     protein_coding  EARLY RESPONSIVE TO DEHYDRATION 5 (ERD5)        EARLY RESPONSIVE TO DEHYDRATION 5 (ERD5);PROLINE DEHYDROGENASE (PRODH); (AT-POX);ARABIDOPSIS THALIANA PROLINE OXIDASE (ATPOX); (ATPDH); (PRO1)"				
CG0018	HuCL00012C005	HaT13l020425	AT2G38540	AT2G38540	LP1	LP1	"Non-specific lipid transfer protein. Binds calmodulin in a Ca2+-independent manner. Localized to the cell wall. Specifically expressed in L1 epidermal layer. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members: At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."	"Non-specific lipid transfer protein. Binds calmodulin in a Ca2+-independent manner. Localized to the cell wall. Specifically expressed in L1 epidermal layer. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15. protein_coding  LIPID TRANSFER PROTEIN 1 (LP1)  LIPID TRANSFER PROTEIN 1 (LP1);LIPID TRANSFER PROTEIN 1 (LTP1);ARABIDOPSIS THALIANA LIPID TRANSFER PROTEIN 1 (ATLTP1)"				
CG0020	HuCL00049C002	HaT13l000345	AT4G21960	AT4G21960	PRXR1	PRXR1	Encodes AT4g21960 (AT4g21960/T8O5_170).	Encodes AT4g21960 (AT4g21960/T8O5_170). protein_coding   (PRXR1)         (PRXR1)				
CG0025	HuCL00147C001	 HaT13l004710	AT1G07890	AT1G07890	APX1	APX1	"Encodes a cytosolic ascorbate peroxidase APX1. Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells. Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress."	"Encodes a cytosolic ascorbate peroxidase APX1. Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells. Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress."				
CG0026	HuCL00221C003	HaT13l000780	AT1G54100	AT1G54100	ALDH7B4	ALDH7B4	Aldehyde dehydrogenase	Aldehyde dehydrogenase  protein_coding  ALDEHYDE DEHYDROGENASE 7B4 (ALDH7B4)    ALDEHYDE DEHYDROGENASE 7B4 (ALDH7B4)				
CG0027	HuCL12633C001	HaT13l002141	AT4G34710	AT4G34710	ADC2	ADC2	"encodes a arginine decarboxylase (ADC), a rate-limiting enzyme that catalyzes the first step of polyamine (PA) biosynthesis via ADC pathway in Arabidopsis thaliana. Arabidopsis genome has two ADC paralogs, ADC1 and ADC2. ADC2 is stress-inducible (osmotic stress). Double mutant analysis showed that ADC genes are essential for the production of PA, and are required for normal seed development. Overexpression causes phenotypes similar to GA-deficient plants and these plants show reduced levels of GA due to lower expression levels of AtGA20ox1, AtGA3ox3 and AtGA3ox1."	"encodes a arginine decarboxylase (ADC), a rate-limiting enzyme that catalyzes the first step of polyamine (PA) biosynthesis via ADC pathway in Arabidopsis thaliana. Arabidopsis genome has two ADC paralogs, ADC1 and ADC2. ADC2 is stress-inducible (osmotic stress). Double mutant analysis showed that ADC genes are essential for the production of PA, and are required for normal seed development. Overexpression causes phenotypes similar to GA-deficient plants and these plants show reduced levels of GA due to lower expression levels of AtGA20ox1, AtGA3ox3 and AtGA3ox1."				
